panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-113,72.0,0.005,0.5,all_equal,oracle_optimism_mean,0.0084618263084364,0.0146230402430822,3.8705425752280595e-05
A/B,S2-113,72.0,0.005,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-113,72.0,0.005,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-113,72.0,0.005,0.5,all_equal,reporting_bias_mean,-7.032919527284619e-05,,5.012694409611555e-05
A/B,S2-113,72.0,0.005,0.5,all_equal,winner_instability,0.9834,,0.9834
A/B,S2-113,72.0,0.005,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-113,72.0,0.005,0.5,all_equal,oracle_bound_ratio,0.5786639554958164,,0.5786639554958164
A/B,S2-117,72.0,0.005,0.9,all_equal,oracle_optimism_mean,0.0038650989712218,0.0146230402430822,4.831541768566555e-05
A/B,S2-117,72.0,0.005,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-117,72.0,0.005,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-117,72.0,0.005,0.9,all_equal,reporting_bias_mean,3.232974120404235e-05,,5.058896583526656e-05
A/B,S2-117,72.0,0.005,0.9,all_equal,winner_instability,0.9835,,0.9835
A/B,S2-117,72.0,0.005,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-117,72.0,0.005,0.9,all_equal,oracle_bound_ratio,0.2643156899640155,,0.2643156899640155
A/B,S2-121,72.0,0.01,0.0,all_equal,oracle_optimism_mean,0.0238952274278749,0.0292460804861644,4.458615152481882e-05
A/B,S2-121,72.0,0.01,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-121,72.0,0.01,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-121,72.0,0.01,0.0,all_equal,reporting_bias_mean,-7.039269126030732e-05,,0.0001001828722868
A/B,S2-121,72.0,0.01,0.0,all_equal,winner_instability,0.9835,,0.9835
A/B,S2-121,72.0,0.01,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-121,72.0,0.01,0.0,all_equal,oracle_bound_ratio,0.8170403360265348,,0.8170403360265348
A/B,S2-125,72.0,0.01,0.5,all_equal,oracle_optimism_mean,0.0167501279420392,0.0292460804861644,7.76491833969594e-05
